,links,Name,Edition,Distance,Color,Price
0,,,,,,
1,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-jeep-grand-wagoneer-8686154/,2022 Jeep Grand Wagoneer,Series II,10KM,Baltic Grey Metallic,"$84,485"
2,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-8686145/,2022 RAM 1500,"Tradesman 4x4 Quad Cab 6'4"" Box",10KM,Bright White,"$54,030"
3,https://www.carpages.ca/used-cars/ontario/oakville/2018-tesla-model-x-8685935/,2018 Tesla Model X,"75D ENHANCED AUTOPILOT, FALCON WING DOORS!","40,190KM",Blue,"$99,950"
4,https://www.carpages.ca/used-cars/ontario/oakville/2021-tesla-model-y-8685932/,2021 Tesla Model Y,"LONG RANGE AWD AUTOPILOT, CLEAN CARFAX, GEMINI WHEELS!","22,971KM",Blue,"$96,700"
5,https://www.carpages.ca/used-cars/ontario/kitchener/2017-toyota-rav4-8685905/,2017 Toyota RAV4,Hybrid XLE - BACK-UP CAM! BSM! SUNROOF!,"68,019KM",Black,"$34,999"
6,https://www.carpages.ca/used-cars/ontario/guelph/2019-toyota-rav4-8685257/,2019 Toyota RAV4,"Hybrid XLE Hybrid- Navigation, Sunroof, Wireless Charging, & More!","55,000KM",Grey,"$47,998"
7,https://www.carpages.ca/used-cars/ontario/guelph/2015-bmw-i3-8685233/,2015 BMW i3,"With Range Extender 5 Door Hatchet, Heated Seats, Rear Camera, Bluetooth & More!","75,000KM",White,"$28,995"
8,https://www.carpages.ca/used-cars/ontario/waterloo/2019-chevrolet-silverado-1500-8684828/,2019 Chevrolet Silverado 1500,Custom,CALL,Satin Steel Metallic,"$40,328"
9,https://www.carpages.ca/used-cars/ontario/oakville/2022-hyundai-ioniq-8684621/,2022 Hyundai IONIQ,5 PREFERRED LONG RANGE | AWD |  READY TO GO |,652KM,Black,"$79,980"
10,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-8684552/,2022 RAM 1500,Big Horn,CALL,Diamond Black Crystal Pearlcoat,"$64,935"
11,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-jeep-grand-wagoneer-8684549/,2022 Jeep Grand Wagoneer,Series III,CALL,Velvet Red Pearlcoat,"$98,575"
12,https://www.carpages.ca/used-cars/nova-scotia/dartmouth/2018-ford-fusion-8684462/,2018 Ford Fusion,Energi Titanium,"42,838KM",White,"$33,790"
13,https://www.carpages.ca/new-cars/saskatchewan/moose-jaw/2022-ford-explorer-8684267/,2022 Ford Explorer,LIMITED,CALL,STAR WHITE MET TRI-COAT,"$60,944"
14,https://www.carpages.ca/used-cars/ontario/sudbury/2019-honda-insight-8684195/,2019 Honda Insight,Touring CVT  - Navigation -  Sunroof,"43,000KM",Gray,"$36,700"
15,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2022-tesla-model-y-8684006/,2022 Tesla Model Y,Long Range AWD  - Fast Charging - $782 B/W,"4,504KM",,"$112,136"
16,https://www.carpages.ca/new-cars/ontario/nepean/2022-hyundai-tucson-8683901/,2022 Hyundai Tucson,Plug-In Hybrid Luxury  - Cooled Seats - $294 B/W,CALL,Amazon Grey,"$46,707"
17,https://www.carpages.ca/new-cars/british-columbia/vernon/2022-ford-escape-8683748/,2022 Ford Escape,SE Hybrid AWD  - $275 B/W,CALL,Star White Tri-Coat,"$43,544"
18,https://www.carpages.ca/new-cars/british-columbia/vernon/2022-ford-escape-8683745/,2022 Ford Escape,SE Hybrid AWD  - $291 B/W,CALL,Agate Black,"$46,144"
19,https://www.carpages.ca/new-cars/ontario/cornwall/2022-ford-escape-8682650/,2022 Ford Escape,SE Hybrid SE HYBRID FWD,CALL,Blue,"$42,794"
20,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-hyundai-tucson-8682305/,2022 Hyundai Tucson,Plug-In Hybrid Ultimate Factory Order - Custom,15KM,Shimmering Silv,"$50,074"
21,https://www.carpages.ca/new-cars/ontario/burlington/2022-ford-maverick-8681726/,2022 Ford MAVERICK,XLT,10KM,Blue,"$32,895"
22,https://www.carpages.ca/used-cars/saskatchewan/moose-jaw/2019-lexus-ux-8681639/,2019 Lexus UX,250H,"21,763KM",Silver,"$45,995"
23,https://www.carpages.ca/used-cars/british-columbia/surrey/2020-tesla-model-3-8681126/,2020 Tesla Model 3,"LOCAL, NO ACCIDENTS 1 OWNER, RWD","8,819KM",White,"$71,995"
24,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8681030/,2022 Audi Q5,Sportback Progressiv,90KM,Glacier White Metallic,"$66,644"
25,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8681027/,2022 Audi Q5,PROGRESSIV,90KM,Mythos Black Metallic,"$67,094"
26,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8681024/,2022 Audi Q5,Sportback Progressiv,90KM,Ibis White,"$68,904"
27,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8681021/,2022 Audi Q5,PROGRESSIV,90KM,Mythos Black Metallic,"$66,344"
28,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8681018/,2022 Audi Q5,Sportback Progressiv,90KM,Daytona Gray Pearl,"$69,794"
29,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8681015/,2022 Audi Q5,PROGRESSIV,90KM,Navarra Blue Metallic,"$66,444"
30,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8681012/,2022 Audi Q5,Sportback Progressiv,90KM,Mythos Black Metallic,"$66,644"
31,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8681009/,2022 Audi Q5,PROGRESSIV,90KM,Quantum Gray,"$67,054"
32,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-a3-8681006/,2022 Audi A3,Sedan Progressiv,90KM,Glacier White Metallic,"$54,494"
33,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8681003/,2022 Audi Q5,Sportback Progressiv,90KM,Quantum Gray,"$68,904"
34,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q7-8681000/,2022 Audi Q7,PROGRESSIV,90KM,Mythos Black Metallic,"$91,559"
35,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-audi-q5-8680997/,2022 Audi Q5,PROGRESSIV,90KM,Daytona Gray Pearl,"$66,644"
36,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-audi-a3-8680985/,2022 Audi A3,Sedan Progressiv | S-Line Package | LED Headlights | DEMO,636KM,Glacier White Metallic,"$57,000"
37,https://www.carpages.ca/used-cars/ontario/guelph/2015-ford-c-max-8680979/,2015 Ford C-MAX,SE,"94,267KM",White,"$19,995"
38,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2022-hyundai-tucson-hybrid-8680940/,2022 Hyundai Tucson Hybrid,Luxury AWD,CALL,Titan Grey,"$41,374"
39,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2022-hyundai-kona-electric-8680880/,2022 Hyundai KONA electric,Preferred FWD,CALL,Cyber Grey,"$46,174"
40,https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-santa-fe-8680544/,2022 Hyundai Santa Fe,PLUG-IN HYBRID Luxury,1KM,LAGOON BLUE,"$48,899"
41,https://www.carpages.ca/new-cars/ontario/mississauga/2022-hyundai-elantra-8680520/,2022 Hyundai Elantra,Hybrid ULTIMATE,35KM,SPACE BLACK,"$27,499"
42,https://www.carpages.ca/used-cars/ontario/guelph/2018-kia-niro-8680364/,2018 Kia NIRO,"EX, Heated Seats, Heated Steering Wheel, Rear Camera, & Much More!","55,000KM",Blue,"$31,988"
43,https://www.carpages.ca/used-cars/british-columbia/surrey/2019-toyota-highlander-8680223/,2019 Toyota Highlander,HYBRID XLE,"89,483KM",Silver,"$52,991"
44,https://www.carpages.ca/used-cars/british-columbia/vancouver/2021-toyota-rav4-8680085/,2021 Toyota RAV4,Hybrid XLE,"39,190KM",Black,"$54,980"
45,https://www.carpages.ca/new-cars/nova-scotia/halifax/2022-hyundai-santa-fe-8679941/,2022 Hyundai Santa Fe,PLUG-IN HYBRID Luxury,CALL,White Cream,"$50,724"
46,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-ford-f-150-8679530/,2022 Ford F-150,PLATINUM,10KM,Iconic Silver Metallic,"$98,235"
47,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-ford-f-150-8679515/,2022 Ford F-150,PLATINUM,35KM,Agate Black Metallic,"$93,405"
48,https://www.carpages.ca/new-cars/ontario/sudbury/2022-mercedes-benz-gle-8679509/,2022 Mercedes-Benz GLE,GLE 450,90KM,Obsidian Black Met,"$91,449"
49,https://www.carpages.ca/used-cars/ontario/mississauga/2013-ford-f-150-8679464/,2013 Ford F-150,FX4,"152,943KM",Sterling Grey Metallic,"$22,496"
50,https://www.carpages.ca/used-cars/ontario/mississauga/2015-ford-f-150-8679458/,2015 Ford F-150,XLT,"167,467KM",Tuxedo Black Metallic,"$26,496"
51,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2021-tesla-model-y-8679305/,2021 Tesla Model Y,Standard Range  - Fast Charging - $624 B/W,"31,760KM",White,"$89,547"
52,https://www.carpages.ca/used-cars/british-columbia/abbotsford/2022-tesla-model-3-8679296/,2022 Tesla Model 3,Standard Range Plus RWD  - Fast Charging - $535 B/W,"8,245KM",White,"$76,778"
53,https://www.carpages.ca/new-cars/ontario/brantford/2022-hyundai-santa-fe-8679134/,2022 Hyundai Santa Fe,Hybrid Preferred AWD w/Trend Package  - $276 B/W,CALL,Bleu Lagon(ue3-sst)-beige,"$44,587"
54,https://www.carpages.ca/used-cars/ontario/brantford/2021-porsche-taycan-8679068/,2021 Porsche Taycan,4S | ELECTRIC | AWD | 522HP | LEATHER | PANO ROOF,"10,633KM",Blue,"$159,888"
55,https://www.carpages.ca/used-cars/quebec/saint-jean-sur-richelieu/2022-tesla-model-y-8678972/,2022 Tesla Model Y,Long Range AWD // Autonomie 533km,531KM,White,"$101,486"
56,https://www.carpages.ca/used-cars/ontario/brampton/2019-bmw-5-series-8678684/,2019 BMW 5 Series,"530e xDrive, iPerformance, Hybrid,Heads Up Display","63,492KM",Black,"$55,995"
57,https://www.carpages.ca/used-cars/ontario/waterloo/2021-tesla-model-y-8678639/,2021 Tesla Model Y,LONG RANGE AWD | PANO ROOF | NAV,CALL,Pearl White Multi-Coat,"$92,593"
58,https://www.carpages.ca/used-cars/ontario/vaughan/2021-tesla-model-s-8678420/,2021 Tesla Model S,LONG RANGE I 21 IN WHEELS I LOW KM I COMING SOON,"9,998KM",Solid Black,"$143,910"
59,https://www.carpages.ca/used-cars/ontario/london/2008-toyota-camry-8676593/,2008 Toyota Camry,HYBRID*ALLOYS*GREAT ON FUEL*GREAT CONDITION*CERT,"202,735KM",Gold,"$8,495"
60,https://www.carpages.ca/used-cars/manitoba/winnipeg/2016-lexus-rx-450h-8676329/,2016 Lexus RX 450h,FSPORT AWD Hybrid 3.5L | Heated & Ventilated Seats,"95,717KM",Obsidian,"$48,999"
61,https://www.carpages.ca/new-cars/new-brunswick/fredericton/2022-hyundai-tucson-hybrid-8675492/,2022 Hyundai Tucson Hybrid,Ultimate,17KM,ASH BLACK,"$43,926"
62,https://www.carpages.ca/new-cars/nova-scotia/port-hawkesbury/2022-toyota-rav4-8675411/,2022 Toyota RAV4,RAV4 HYBRID LIMITED - PREMIUM,10KM,0070 BLIZZARD PEARL,"$44,905"
63,https://www.carpages.ca/used-cars/ontario/oakville/2020-tesla-model-3-8675333/,2020 Tesla Model 3,STANDARD RANGE PLUS | AUTO PILOT | NAV | LEATHER,"39,082KM",Black,"$62,980"
64,https://www.carpages.ca/new-cars/ontario/ottawa/2022-ford-escape-8675264/,2022 Ford Escape,SE Hybrid,26KM,Agate Black Metallic,"$41,544"
65,https://www.carpages.ca/used-cars/ontario/london/2022-hyundai-kona-electric-8673776/,2022 Hyundai KONA electric,PENDING SALE--415KMs Range-Adaptive Cruise-Remote,"4,000KM",Grey,"$61,990"
66,https://www.carpages.ca/new-cars/alberta/high-river/2022-toyota-highlander-8673320/,2022 Toyota Highlander,Hybrid XLE  - Sunroof -  Power Liftgate,8KM,Blueprint,"$57,701"
67,https://www.carpages.ca/used-cars/british-columbia/vancouver/2022-toyota-corolla-8673200/,2022 Toyota Corolla,Hybrid - Less Trips To The Gas Station!,"3,141KM",Black,"$40,995"
68,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-tesla-model-y-8672930/,2022 Tesla Model Y,Long Range Dual Mtr Hard to Find,51KM,Pearl White Multi-Coat,"$108,992"
69,https://www.carpages.ca/used-cars/manitoba/winnipeg/2020-tesla-model-x-8672927/,2020 Tesla Model X,Long Range Plus Tesla Is Red Hot,"32,964KM",Solid Black,"$138,992"
70,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-tesla-model-y-8672924/,2022 Tesla Model Y,Long Range Dual Mtr Market is Hot,19KM,Pearl White Multi-Coat,"$108,992"
71,https://www.carpages.ca/used-cars/manitoba/winnipeg/2022-tesla-model-y-8672921/,2022 Tesla Model Y,Long Range Dual Mtr Don't Miss Out,14KM,Deep Blue Metallic,"$108,992"
72,https://www.carpages.ca/used-cars/manitoba/winnipeg/2021-audi-q5-8672402/,2021 Audi Q5,Progressiv | S-Line Sport Package | Top View Camera,"10,620KM",Glacier White Metallic,"$62,000"
73,https://www.carpages.ca/used-cars/manitoba/winnipeg/2021-audi-rs-4-8672390/,2021 Audi RS 4,Q8 Carbon Optics | Driver Assistance | Sport Exhaust,"3,353KM",Orca Black,"$182,000"
74,https://www.carpages.ca/used-cars/nova-scotia/lower-sackville/2016-mini-cooper-8672249/,2016 MINI Cooper,Hardtop Hardtop | 1.5L 3cyl | Panoramic Sunroof! | Beautiful Electric Blue... Finance Today.,"76,223KM",Blue,"$19,990"
75,https://www.carpages.ca/new-cars/manitoba/brandon/2022-ford-maverick-8672144/,2022 Ford MAVERICK,XL,16KM,Grey,"$30,410"
76,https://www.carpages.ca/used-cars/alberta/calgary/2022-toyota-sienna-8672066/,2022 Toyota Sienna,XLE,"1,102KM",Gray,"$66,995"
77,https://www.carpages.ca/new-cars/saskatchewan/regina/2022-ford-f-150-8672006/,2022 Ford F-150,Lariat,CALL,Iconic Silver Metallic,"$83,680"
78,https://www.carpages.ca/used-cars/manitoba/winnipeg/2019-porsche-cayenne-8671979/,2019 Porsche Cayenne,"E-Hybrid AWD, Navigation, Power Sunroof, Heated/Cooled Seats","30,753KM",Grey,"$91,995"
79,https://www.carpages.ca/used-cars/british-columbia/port-coquitlam/2020-toyota-prius-8671940/,2020 Toyota Prius,Prime Base,"59,973KM",,"$39,995"
80,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-hyundai-ioniq-8671883/,2022 Hyundai IONIQ,5 Preferred AWD Long Range  - $352 B/W,12KM,Lucid Blue Pearl,"$57,024"
81,https://www.carpages.ca/new-cars/british-columbia/abbotsford/2022-hyundai-elantra-8671877/,2022 Hyundai Elantra,Hybrid Ultimate DCT  - Leather Seats - $181 B/W,10KM,Electric Shadow,"$29,224"
82,https://www.carpages.ca/used-cars/ontario/orleans/2013-lexus-rx-450h-8671772/,2013 Lexus RX 450h,4DR AWD HYBRID,"164,708KM",Satin Cashmere Metallic,"$25,495"
83,https://www.carpages.ca/new-cars/ontario/simcoe/2022-hyundai-elantra-8671688/,2022 Hyundai Elantra,Hybrid Preferred DCT  - Remote Start - $173 B/W,15KM,Intense Blue,"$27,988"
84,https://www.carpages.ca/new-cars/british-columbia/surrey/2022-jeep-wrangler-8670914/,2022 Jeep Wrangler,4xe,CALL,Silver,"$75,965"
85,https://www.carpages.ca/new-cars/british-columbia/richmond/2022-jeep-wrangler-8670464/,2022 Jeep Wrangler,4xe,CALL,Silver,"$78,061.50"
86,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-ford-escape-8670386/,2022 Ford Escape,SE Hybrid FACTORY ORDER - ARRIVING SOON | 201A |  ROOF | POWER LIFTGATE,10KM,Atlas Blue Metallic,"$44,804"
87,https://www.carpages.ca/new-cars/manitoba/winnipeg/2022-ford-escape-8670383/,2022 Ford Escape,SE Hybrid FACTORY ORDER - ARRIVING SOON | 201A | ROOF | POWER LIFTGATE,10KM,Oxford White,"$45,154"
88,https://www.carpages.ca/used-cars/ontario/oakville/2016-toyota-rav4-8670305/,2016 Toyota RAV4,"4dr Limited,AWD LEATHER,NAVIGATION,CAMERA,SUN ROOF","129,117KM",Gray,"$24,999"
89,https://www.carpages.ca/used-cars/ontario/brampton/2019-toyota-rav4-8669846/,2019 Toyota RAV4,LE Hybrid,"144,000KM",Maroon,"$36,900"
90,https://www.carpages.ca/used-cars/ontario/oakville/2021-tesla-model-y-8669774/,2021 Tesla Model Y,"LONG RANGE AWD AUTOPILOT, CARFAX CLEAN!",603KM,Red,"$104,950"
91,https://www.carpages.ca/used-cars/ontario/oakville/2020-tesla-model-3-8669771/,2020 Tesla Model 3,"LONG RANGE AWD AUTOPILOT, WHITE INTERIOR, CLEAN!","45,667KM",Red,"$74,950"
92,https://www.carpages.ca/used-cars/ontario/oakville/2022-tesla-model-3-8669768/,2022 Tesla Model 3,"LONG RANGE AWD AUTOPILOT, NEW, HEATED STEERING!",47KM,White,"$89,950"
93,https://www.carpages.ca/used-cars/ontario/oakville/2022-tesla-model-3-8669765/,2022 Tesla Model 3,"LONG RANGE AWD AUTOPILOT, BRAND NEW!",60KM,Grey,"$89,950"
94,https://www.carpages.ca/used-cars/ontario/oakville/2021-tesla-model-3-8669762/,2021 Tesla Model 3,"STANDARD RANGE PLUS AUTOPILOT, WHITE INTERIOR!","13,448KM",White,"$70,950"
95,https://www.carpages.ca/used-cars/ontario/oakville/2020-tesla-model-y-8669753/,2020 Tesla Model Y,"LONG RANGE AWD FULL SELF DRIVE, ONE OWNER!","10,243KM",White,"$97,700"
96,https://www.carpages.ca/new-cars/saskatchewan/saskatoon/2022-ram-1500-8669462/,2022 RAM 1500,"Rebel 4x4 Crew Cab 5'7"" Box",28KM,FLAME RED,"$74,670"
97,https://www.carpages.ca/used-cars/ontario/kitchener/2012-lexus-ct-200h-8669450/,2012 Lexus CT 200h,"Hybrid,Sunroof,Bluetooth,Backup Camera,Certified","171,000KM",Brown,"$16,999"
98,https://www.carpages.ca/used-cars/nova-scotia/halifax/2020-kia-niro-8668706/,2020 Kia NIRO,EX Premium,"24,900KM",Snow White Pearl,"$32,990"
99,https://www.carpages.ca/new-cars/ontario/peterborough/2022-ford-f-150-8668409/,2022 Ford F-150,Lariat,CALL,Agate Black,"$80,950"
100,https://www.carpages.ca/used-cars/british-columbia/port-coquitlam/2018-chevrolet-bolt-8668346/,2018 Chevrolet Bolt,EV Premier,"40,521KM",,"$38,995"
101,https://www.carpages.ca/used-cars/ontario/mississauga/2015-ford-f-150-8668304/,2015 Ford F-150,XLT,"159,495KM",,"$29,998"
102,https://www.carpages.ca/used-cars/ontario/mississauga/2018-ford-f-150-8668301/,2018 Ford F-150,Lariat,"95,605KM",Magnetic,"$44,998"
103,https://www.carpages.ca/used-cars/ontario/mississauga/2018-ford-f-150-8668298/,2018 Ford F-150,Lariat,"70,569KM",Magnetic,"$44,998"
104,https://www.carpages.ca/used-cars/ontario/mississauga/2020-ford-explorer-8668292/,2020 Ford Explorer,LIMITED,"28,382KM",Oxford White,"$59,998"
105,https://www.carpages.ca/used-cars/saskatchewan/regina/2016-toyota-rav4-8668277/,2016 Toyota RAV4,Hybrid Limited,"45,238KM",Magnetic Grey Metallic,"$41,995"
106,https://www.carpages.ca/used-cars/ontario/oakville/2016-ford-f-150-8668241/,2016 Ford F-150,XLT,"104,134KM",Blue,"$32,988"
107,https://www.carpages.ca/used-cars/ontario/oakville/2017-ford-f-150-8668235/,2017 Ford F-150,XLT,"126,068KM",Black,"$32,988"
108,https://www.carpages.ca/used-cars/ontario/nepean/2019-toyota-rav4-8668214/,2019 Toyota RAV4,Hybrid XLE  - Sunroof -  Power Liftgate,"118,112KM",,"$43,498"
109,https://www.carpages.ca/used-cars/ontario/sudbury/2013-toyota-prius-8668208/,2013 Toyota Prius,V Base  - Bluetooth - Low Mileage,"31,280KM",Red,"$19,000"
110,https://www.carpages.ca/used-cars/ontario/sudbury/2022-hyundai-elantra-8668202/,2022 Hyundai Elantra,Hybrid LIMI  - Low Mileage,"7,612KM",Gray,"$41,600"
111,https://www.carpages.ca/used-cars/ontario/sudbury/2021-hyundai-elantra-8668199/,2021 Hyundai Elantra,Hybrid Preferred DCT  -  Heated Seats,"39,150KM",Black,"$37,450"
112,https://www.carpages.ca/used-cars/ontario/sudbury/2020-lexus-rx-450h-8668196/,2020 Lexus RX 450h,AWD  - Cooled Seats -  Sunroof,"69,500KM",Black,"$65,150"
113,https://www.carpages.ca/used-cars/british-columbia/coquitlam/2022-tesla-model-3-8667887/,2022 Tesla Model 3,LONG RANGE,25KM,,"$94,495"
114,https://www.carpages.ca/used-cars/british-columbia/richmond/2022-tesla-model-y-8666960/,2022 Tesla Model Y,PERFORMANCE LIKE NEW NO PST,40KM,Solid Black,"$108,444"
115,https://www.carpages.ca/used-cars/ontario/burlington/2017-kia-optima-8665234/,2017 Kia Optima,Hybrid EX,"122,203KM",Black,"$21,998"
116,https://www.carpages.ca/used-cars/ontario/toronto/2012-international-terrastar-8664661/,2012 International TerraStar,***DIESEL***18FT BOX TRUCK***FULLY CERTIFIED***,"221,000KM",White,"$19,960"
117,https://www.carpages.ca/used-cars/british-columbia/new-westminster/2018-ford-fusion-8663992/,2018 Ford Fusion,Hybrid SE Cam Sync,"68,115KM",Gold,"$33,800"
118,https://www.carpages.ca/used-cars/ontario/guelph/2018-mitsubishi-outlander-8663866/,2018 Mitsubishi Outlander,"Phev GT AWD, Sunroof, Heated Seats, Heated Steering, & More!","74,587KM",Red,"$38,588"
119,https://www.carpages.ca/used-cars/ontario/ottawa/2018-ford-f-150-8663050/,2018 Ford F-150,XLT,"49,663KM",Oxford White,"$45,997"
