,Link,Name,Description,Price,Sale_Price
0,,,,,
1,https://www.nike.com/in/t/liverpool-fc-2021-22-stadium-home-football-shirt-gcNpBV/DB2560-688,Liverpool F.C. 2021/22 Stadium Home,Men's Football Shirt,"4,695","3,757"
2,https://www.nike.com/in/t/paris-saint-germain-2022-23-stadium-fourth-dri-fit-football-shirt-LXHxD1/DH7471-101,Paris Saint-Germain 2022/23 Stadium Fourth,Men's Nike Dri-FIT Football Shirt,"4,695","3,757"
3,https://www.nike.com/in/t/dunk-high-1985-sp-shoes-Kwc210/DD9404-800,Nike Dunk High 1985 SP,Shoes,"11,495","9,197"
4,https://www.nike.com/in/t/los-angeles-lakers-city-edition-dri-fit-nba-swingman-jersey-W4m3x8/DB4032-506,Los Angeles Lakers City Edition,Nike Dri-FIT NBA Swingman Jersey,"6,495","5,197"
5,https://www.nike.com/in/t/force-1-younger-shoes-h6p0zj/CZ1685-105,Nike Force 1,Younger Kids' Shoes,"3,995","3,197"
6,https://www.nike.com/in/t/fc-barcelona-2021-22-stadium-away-football-shirt-cvf2vn/CV7890-581,F.C. Barcelona 2021/22 Stadium Away,Men's Football Shirt,"4,695","3,757"
7,https://www.nike.com/in/t/air-vapormax-2021-fk-shoe-l1MtKW/DH4088-600,Nike Air VaporMax 2021 FK,Women's Shoe,"17,595","14,077"
8,https://www.nike.com/in/t/air-vapormax-2021-fk-older-shoes-70tPMp/DB1550-001,Nike Air VaporMax 2021 FK,Older Kids' Shoes,"12,995","10,397"
9,https://www.nike.com/in/t/air-force-1-07-shoe-AKTdww3y/315115-170,Nike Air Force 1 '07,Women's Shoe,"7,495","5,997"
10,https://www.nike.com/in/t/air-max-97-shoes-VhxM4R/DH1083-001,Nike Air Max 97,Men's Shoes,"15,495","12,397"
11,https://www.nike.com/in/t/force-1-lv8-younger-shoes-dJvFcH/DH9788-001,Nike Force 1 LV8,Younger Kids' Shoes,"5,995","4,797"
12,https://www.nike.com/in/t/victori-one-printed-slide-2ZsMWk/CN9678-009,Nike Victori One,Men's Printed Slide,"2,595","2,077"
13,https://www.nike.com/in/t/air-max-2021-shoes-MljWq1/DH4245-002,Nike Air Max 2021,Men's Shoes,"14,495","11,597"
14,https://www.nike.com/in/t/air-huarache-shoes-fg69qQ/DD1068-003,Nike Air Huarache,Men's Shoes,"10,295","8,237"
15,https://www.nike.com/in/t/sb-blzr-court-mid-skate-shoes-vs4H3C/DH7479-100,Nike SB BLZR Court Mid Premium,Skate Shoes,"7,495","5,997"
16,https://www.nike.com/in/t/air-jordan-1-zoom-air-comfort-shoes-DMnp24/CT0979-006,Air Jordan 1 Zoom Air Comfort,Women's Shoes,"12,495","9,997"
17,https://www.nike.com/in/t/air-force-1-07-lx-shoes-vsmmT0/DQ5361-011,Nike Air Force 1 '07 LX,Women's Shoes,"10,995","8,797"
18,https://www.nike.com/in/t/zoomx-dragoy-athletics-distance-spikes-5qvQQ8/CV0400-700,Nike ZoomX Dragonfly,Athletics Distance Spikes,"12,995","10,397"
19,https://www.nike.com/in/t/zoom-fly-4-road-running-shoes-Jx98CR/DO2421-739,Nike Zoom Fly 4,Road Running Shoes,"15,995","12,797"
20,https://www.nike.com/in/t/air-force-1-fontanka-shoes-LtBCnn/DA7024-101,Nike Air Force 1 Fontanka,Women's Shoes,"9,295","7,437"
21,https://www.nike.com/in/launch/r/BQ7669-700,Jordan 4 Retro,Younger Kids' Shoes,"6,495","5,197"
22,https://www.nike.com/in/t/air-force-1-fontanka-shoes-sJrqz3/DH1290-001,Nike Air Force 1 Fontanka,Women's Shoes,"10,995","8,797"
23,https://www.nike.com/in/t/air-huarache-le-shoes-wCfbvV/DH8143-400,Nike Air Huarache LE,Men's Shoes,"10,295","8,237"
24,https://www.nike.com/in/t/air-max-95-shoes-FJRr6S/DH9792-100,Nike Air Max 95,Shoes,"16,595","13,277"
25,https://www.nike.com/in/t/air-jordan-11-retro-shoes-4x2Pv2/AR0715-010,Air Jordan 11 Retro,Shoes,"17,995","14,397"
26,https://www.nike.com/in/t/air-max-sc-shoe-FVn5sK/CW4554-106,Nike Air Max SC,Women's Shoe,"5,995","4,797"
27,https://www.nike.com/in/t/air-more-uptempo-96-shoes-CVj6VC/DM1297-100,Nike Air More Uptempo '96,Men's Shoes,"14,495","11,597"
28,https://www.nike.com/in/t/aqua-rift-shoes-C3VX3v/CW7164-100,Nike Aqua Rift,Women's Shoes,"9,995","7,997"
29,https://www.nike.com/in/launch/r/DO9549-001,Nike Air Max 1 x Patta,Shoes,"15,495","12,397"
30,https://www.nike.com/in/t/metcon-7-amp-training-shoes-htSGZr/DC9510-199,Nike Metcon 7 AMP,Training Shoes,"13,495","10,797"
31,https://www.nike.com/in/t/metcon-7-training-shoes-MVtzlX/CZ8281-234,Nike Metcon 7,Training Shoes,"11,495","9,197"
32,https://www.nike.com/in/t/air-max-90-shoe-Rr3hDm/DA1641-003,Nike Air Max 90 Premium,Men's Shoe,"12,495","9,997"
33,https://www.nike.com/in/t/air-classic99-cap-GMtvHk/DH2423-010,Nike Air Classic99,Cap,"1,295","1,037"
34,https://www.nike.com/in/t/venturer-face-mask-7FpwM7/DO8356-010,Nike Venturer,Performance Face Mask,"2,995","2,397"
35,https://www.nike.com/in/t/dri-fit-cr7-older-knit-football-shorts-w29tlV/DH9768-451,Nike Dri-FIT CR7,Older Kids' Knit Football Shorts,"1,695","1,357"
36,https://www.nike.com/in/t/metcon-7-training-shoes-knCh3v/CZ8280-049,Nike Metcon 7,Women's Training Shoes,"11,495","9,197"
37,https://www.nike.com/in/t/lebron-19-basketball-shoes-pbfCF3/CZ0203-001,LeBron 19,Basketball Shoes,"17,595","14,077"
38,https://www.nike.com/in/t/air-force-1-07-skeleton-shoe-ljxHtQ/CU8067-500,Nike Air Force 1 '07 Skeleton,Men's Shoe,"11,495","9,197"
39,https://www.nike.com/in/t/air-vapormax-2021-fk-shoes-xpD4JD/DC4112-002,Nike Air VaporMax 2021 FK,Women's Shoes,"17,595","14,077"
40,https://www.nike.com/in/t/dunk-low-se-shoes-zmKqzw/DD7099-100,Nike Dunk Low SE,Women's Shoes,"9,295","7,437"
41,https://www.nike.com/in/t/air-force-1-07-lxx-shoes-dMqgKQ/DH0775-200,Nike Air Force 1 '07 LXX,Women's Shoes,"9,295","7,437"
42,https://www.nike.com/in/t/dunk-high-retro-se-shoes-tXRLdK/DD3359-001,Nike Dunk High Retro SE,Men's Shoes,"10,295","8,237"
