,Link,Title,Company Name,Location,Date,Salary
0,,,,,,
1,https://in.indeed.com//company/Accountico-Consultancy-Services-Pvt-Ltd/jobs/Data-Analyst-1632448490f119f1?fccid=d5a1f580cac5b01e&vjs=3,newData Analyst,Accountico Consultancy Services Pvt Ltd,"Noida, Uttar Pradesh",EmployerActive 3 days ago,"Rs. 8,000 - Rs. 15,000 a month"
2,https://in.indeed.com//rc/clk?jk=37ec355a24bbaea8&fccid=d0d30499c8b16494&vjs=3,newData Analyst,Study Group,"Noida, Uttar Pradesh",Posted8 days ago,N/A
3,https://in.indeed.com//company/Report-Ocean-Pvt-Ltd/jobs/Market-Research-Analyst-c613695d557fa628?fccid=cbc9d2be8f4408c5&vjs=3,newMarket Research Analyst,Report Ocean Pvt Ltd,"Noida, Uttar Pradesh",EmployerActive 7 days ago,"Rs. 30,000 - Rs. 60,000 a month"
4,https://in.indeed.com//rc/clk?jk=8be03b4166eb0f31&fccid=b716e44d2c6283e7&vjs=3,newData Analyst - Operations-2,S&P Global,"Noida, Uttar Pradesh",Posted5 days ago,N/A
5,https://in.indeed.com//company/Compunnel-Inc./jobs/Business-Analyst-Data-Analyst-57c20dc2733e108b?fccid=a290744589afaf5a&vjs=3,Business Analyst/Data Analyst,Compunnel Inc.,"Noida, Uttar Pradesh",EmployerActive 12 days ago,"Rs. 18,00,000 a year"
6,https://in.indeed.com//rc/clk?jk=60b795a76fa72bb5&fccid=dd616958bd9ddc12&vjs=3,newData Analyst (Junior),FENG GROUP,"New Delhi, Delhi",Posted6 days ago,N/A
7,https://in.indeed.com//rc/clk?jk=e37508527de082f8&fccid=82656d64a9a3e6a7&vjs=3,newData Analyst,Ericsson,"Noida, Uttar Pradesh",Posted6 days ago,N/A
8,https://in.indeed.com//company/Climate-Change-Response-Pty-Ltd/jobs/Data-Analyst-056c653ca709164b?fccid=e77639e1ce76ebb1&vjs=3,Data Analyst,Arnowa,"New Delhi, Delhi",EmployerActive 4 days ago,"Rs. 25,000 a month"
9,https://in.indeed.com//rc/clk?jk=1e471d3884fad3d8&fccid=bb12c857d8460724&vjs=3,Data Analyst,ANR Software,"Noida, Uttar Pradesh",Posted12 days ago,N/A
